include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
n,gta,country,ohi_gta_country_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_country_1_detail/19570825,umg_grcs_subscriber,gta_countrymapper,pubsubwrapped,,n,y,end
n,gta,country,ohi_gta_country_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_country_1_detail/19570825,umg_musicgadget_subscriber,gta_countrymapper,pubsubwrapped,,n,y,end
n,gta,currency,ohi_gta_currency_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_currency_1_detail/19570825,umg_grcs_subscriber,gta_currencymapper,pubsubwrapped,,n,y,end
n,gta,parentterritory,ohi_gta_parentterritory_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_parentterritory_1_detail/19570825,umg_grcs_subscriber,gta_parentterritorymapper,pubsubwrapped,,n,y,end
n,gta,territory,ohi_gta_territory_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territory_1_detail/19570825,umg_grcs_subscriber,gta_territorymapper,pubsubwrapped,,n,y,end
n,gta,territory,ohi_gta_territory_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territory_1_detail/19570825,umg_digsreporting_subscriber,gta_territorymapper,pubsubwrapped,,n,y,end
n,gta,territory,ohi_gta_territory_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territory_1_detail/19570825,umg_digs_gta_subscriber,n/a,pubsubwrapped,,n,y,end
n,gta,territoryarea,ohi_gta_territoryarea_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territoryarea_1_detail/19570825,umg_digs_gta_subscriber,gta_territoryareamapper,pubsubwrapped,,n,y,end
n,gta,territoryarea,ohi_gta_territoryarea_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territoryarea_1_detail/19570825,umg_digsreporting_subscriber,gta_territoryareamapper,pubsubwrapped,,n,y,end
n,gta,territoryarea,ohi_gta_territoryarea_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territoryarea_1_detail/19570825,umg_grcs_subscriber,gta_territoryareamapper,pubsubwrapped,,n,y,end
n,gta,territorycountry,ohi_gta_territorycountry_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territorycountry_1_detail/19570825,umg_digs_gta_subscriber,gta_territorycountrymapper,pubsubwrapped,,n,y,end
n,gta,territorycountry,ohi_gta_territorycountry_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territorycountry_1_detail/19570825,umg_digsreporting_subscriber,gta_territorycountrymapper,pubsubwrapped,,n,y,end
n,gta,territorycountry,ohi_gta_territorycountry_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territorycountry_1_detail/19570825,umg_grcs_subscriber,gta_territorycountrymapper,pubsubwrapped,,n,y,end
n,gta,territorycountry,ohi_gta_territorycountry_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territorycountry_1_detail/19570825,umg_digs_gta_subscriber_qa,gta_territorycountrymapper,pubsubwrapped,,n,y,end
n,gta,territoryarea,ohi_gta_territoryarea_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territoryarea_1_detail/19570825,umg_digs_gta_subscriber_qa,gta_territoryareamapper,pubsubwrapped,,n,y,end
n,gta,territory,ohi_gta_territory_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_territory_1_detail/19570825,umg_digs_gta_subscriber_qa,n/a,pubsubwrapped,,n,y,end
n,gta,country,ohi_gta_country_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_country_1_detail/19570825,umg_digs_gta_subscriber_qa,gta_countrymapper,pubsubwrapped,,n,y,end
n,gta,configuration,ohi_gta_configuration_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_configuration_1_detail/19570825,umg_digs_gta_subscriber_qa,gta_configurationmapper,pubsubwrapped,,n,y,end
n,gta,companyaccount,ohi_gta_companyaccount_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_companyaccount_1_detail/19570825,umg_digs_gta_subscriber_qa,gta_companyaccountmapper,pubsubwrapped,,n,y,end
n,gto,company,ohi_gto_company_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_company_1_detail/19570825,umg_digs_gta_subscriber,gta_companymapper,pubsubwrapped,,n,y,end
n,gto,company,ohi_gto_company_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_company_1_detail/19570825,umg_digsreporting_subscriber,gta_companymapper,pubsubwrapped,,n,y,end
n,gto,company,ohi_gto_company_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_company_1_detail/19570825,umg_grcs_subscriber,gta_companymapper,pubsubwrapped,,n,y,end
n,gto,company,ohi_gto_company_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gto_company_1_detail/19570825,umg_d2_subscriber,gta_companymapper,pubsubwrapped,,n,y,end
